Frase;Checavel?;Checagem;Fonte
O Brasil tinha criado 10 milhões de emprego no período em que eu estive no Banco Central;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Tenho projeto de lei que visa a castração química [para o condenado por estupro];SIM;Verdadeiro, mas;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Brasil criou 2 milhões de empregos [no governo Temer];SIM;Exagerado;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
[Foram] 8% de estupros a mais neste ano, em relação ao ano passado;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Maior parte [da população] não tem esgoto tratado;SIM;Verdadeiro, mas;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Em dezembro, ela [Walderice Santos da Conceição, servidora do gabinete de Bolsonaro] estava de férias;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
O spread bancário é quatro vezes a média do mundo;SIM;Verdadeiro, mas;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
[O Brasil é o] Único país [onde] não existe voto impresso;SIM;Falso;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Hoje o Brasil tem 63 milhões de pessoas com nome sujo;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
[São] 6 milhões de família sem casa;SIM;Insustentável;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Fui eleito [senador] com quase 80% dos votos do meu estado;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Abri mão (…) [da] verba indenizatória;SIM;Verdadeiro, mas;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
A Constituição Federal, em seu artigo de número 6, prevê o direito ao trabalho;SIM;Verdadeiro;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Quatro anos atrás estávamos aqui [no debate] e foi anunciado pela Band que (…) as mortes violentas [eram de] 59 mil pessoas por ano. Agora, temos 63 mil pessoas assassinadas;SIM;Verdadeiro, mas;https://piaui.folha.uol.com.br/lupa/2018/08/09/debate-band-tempo-real-2018/
Esta foi a maior crise da história;NAO;;
Vivi um dos melhores momentos da minha carreira em 2010;NAO;;
Nós sabemos, a importância de investir em infraestrutura, em saneamento, para o nosso país;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
É uma satisfação estar aqui mais uma vez, participando desse debate.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Com a emenda constitucional 95, que fixou um teto de gastos por 20 anos, nós não vamos retomar as obras de infraestrutura que se encontram paradas nesse momento. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
a construção civil sobretudo, gera muitos empregos;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
nós vamos exportar a mais se fizermos isso;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nosso objetivo é ampliar a capacidade de investimentos do Estado brasileiro.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Para mim, o Presidente Lula, respondendo a sua segunda pergunta, foi o maior presidente da história do Brasil.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
É um grande líder que se corrompeu no caminho.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
PT, com PMDB, os dois, casalzinho, os dois juntos, que ficaram 13 anos afundando o nosso país;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Deveriam ter investido em infra estrutura, para trazer emprego para o povo e não fizeram;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Esse dinheiro vai ser investido no nosso povo;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Eu lamento a sua colocação, porque o você desconhece a geopolítica do continente.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
O Brasil não é um país isolado, o Brasil é um país líder na América Latina, na América do Sul, e é um país que estava exercendo a sua liderança, inclusive, em países da África e do Oriente Médio;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Eu gostaria que você tomasse ciência do que aconteceu nesse período.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Meirelles, eu estou muito preocupado com a ausência de um tema nos debates presidenciais: a pessoa com deficiência e o idoso. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Antes de mais nada, o Brasil precisa investir, criar emprego e renda.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Para isso, nós temos que ter capacidade de ter uma boa política econômica;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós vamos também criar direcionamentos especiais para que os deficientes possam ter acessos a esses empregos.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
É importante garantir que o deficiente progrida na carreira. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
E para isso, mais uma vez, é necessário recursos e, como você mencionou, no momento em que eu estive na presidência do Banco Central, a economia cresceu e os recursos cresceram.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Como Presidente da República, de fato, o Brasil vai crescer muito, e a partir daí teremos recursos para segurança, saúde, educação ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Todos os programas da época do Presidente Lula, foram alterados para atender a pessoa com deficiência e o idoso.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Na educação, nós fizemos o maior programa de inclusão da história do Brasil. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
É muito importante esclarecer, para a população, que tudo o que é realizado por um governo, demanda recursos.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Tem que ser um presidente que de fato conheça economia e faça com que o país cresça;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nenhum país democrático tem um Bolsonaro como presidente;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
eu considero essa sua questão talvez a mais grave dessa reta final da campanha brasileira;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nenhum país do mundo suportará o desdobramento que nós estamos visualizando, pelo menos como ameaça, sobre a sociedade brasileira.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Há quatro anos o Brasil não para para discutir a massa de desempregados;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Não é brincadeira, 63.800 de homicídios aconteceram nesse país e nós não mudamos nada na legislação brasileira para enfrentar essa onda que vulgarizou a barbárie.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Os radicais sempre tentam fugir do problema se escondendo atrás do radicalismo, isso não resolve o problema. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
O ódio não cria empregos, a vingança só cria a destruição. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
A mim me tocou, por exemplo, a responsabilidade pelo Projeto São Francisco, uma das obras importantes do governo do Lula.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
nós temos 24 partidos em aliança produzindo resultados extraordinários;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
 esse é um momento grave, a crise é muito complexa ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
capacidade de diálogo talvez seja o requisito maior para encerrar essa radicalização;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Numa democracia, se não temos comprovação de que houve uma fraude, não se pode entrar no jogo se for, para você ganhar de qualquer jeito.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
o Bolsonaro fala muito grosso mas, tem momentos que ele amarela, e amarela mesmo. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
O brasil não precisa ficar entre a espada da corrupção e a cruz do autoritarismo do Bolsonaro.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Eu assino embaixo essas declarações e acho que todos os nossos ilustres pares aqui neste debate temos que afirmar nosso compromisso com a democracia. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
o Brasil não aguenta mais essa radicalização nojenta. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós estamos diante de um momento muito difícil da história política do nosso país. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
aquela pessoa com uma faca poderia ter tirado sua vida e de outras pessoas, então é uma proposta que não se sustenta;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
PT e Bolsonaro são cabos eleitorais um do outro e, nós temos que combater esse autoritarismo.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Marina, realmente nós estamos assistindo a marcha da insensatez nessa campanha eleitoral. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
desde 2010, eu digo que é necessário unir o Brasil.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
O Brasil não vai mudar sem as reformas, se não nós vamos continuar nesse marasmo. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós não podemos ter 35 partidos políticos no Brasil, é evidente que precisa ter uma reforma Política. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós vamos trabalhar para unir o Brasil. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Esses radicalismos de esquerda e de direita podem aumentar o desemprego;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós vivemos um dos momentos mais difíceis da nossa população. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Quem vier aqui e falar de saúde, e falar de educação e não se comprometer a revogar esse estrago, está mentindo.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Por isso, é preciso fazer o investimento necessário no SUS, enfrentando os privilégios. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Vou pôr para funcionar, 30 mil leitos que estão hoje fechados no Brasil.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Hoje, quem vai em um posto de saúde, sai com uma dipirona e um papel para dali voltar a seis meses para fazer um exame.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Quatro anos na política, quatro anos como prefeito e não fez nada para a Prefeitura de São Paulo. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Lei que enfrenta interesse de rico não costuma pegar. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
 a descrença gera antipolítica, e a antipolítica tem alimentado saídas autoritárias em todo o mundo. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
nós precisamos achar um caminho de reconciliação, e isso virou o mantra de praticamente todos os candidatos aqui hoje;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Olha, a questão central do nosso país é retomar o emprego e renda;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
O Brasil tem pressa, tem que fazer as reformas. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Nós vamos trazer investimento pro Brasil, vamos fazer as reformas, como simplificação tributária;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Eu não vou criar imposto novo;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Agora, o Brasil voltou a crescer e cresceria mais esse ano não fossem as propostas radicais e propostas que ameaçam o crescimento;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
eu pretendo investir muito na questão da agricultura;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
A política é uma das coisas mais importantes na vida de uma sociedade e de um país. ;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Cheguei lá no cenário político e observei que tudo o que se trata dentro do Congresso Nacional não é pro povo.;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
A guerra civil que nós estamos enfrentando é que o nossos jovens nunca valorizaram a educação;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/
Eu na presidência vou pedir ressarcimento aos cofres públicos dos responsáveis do conselho;NAO;;https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/